Commit ID,Commit Hash,Commit Author,Commit Message,Release Version,Release Date,Release Notes,Successful Builds per Day (%),Code Coverage (%),Open Issues,Time to Resolve Issues (Days),Merge Conflicts,Pipeline Success Rate (%),Active Contributors,Average Time to Merge Pull Request (Days),Closed Milestones,Response Time for Code Reviews (Hours),Code Complexity (out of 10),Code Duplication (%),Code Smells,Security Vulnerabilities (Critical),Security Vulnerabilities (Moderate),Test Coverage (%),Pull Request ID,Pull Request Title,Reviewer,Review Comments,Review Duration (Days),Pull Request State,Time from Ready to Merge (Hours),Comments Follow-up Time (Hours),Time Spent in Ready (Days),Time Spent in In Review (Days),Time Spent in Merged (Hours),Pull Request Rate (Per Day),Pull Request Duration (Days),Merge Ratio (%),Number of In-Progress Pull Requests,Days Worked between Pull and Merge Confirmation,Review Time (Days),Code Churn
1,abcd1234,John Smith,Ajout de la fonctionnalité d'authentification,1.0.0,2023-01-01,"Ajout de la fonctionnalité d'authentification pour les utilisateurs",8,85,5,2,0,95,2,2,1,4,10,3,1,0,0,123,Ajout de l'interface d'authentification,Emily Thompson,"Ajout de l'interface utilisateur pour l'authentification",2,En revue,1,0.5,1,0,1,0.5,1,100,1,0,1,50
2,wxyz5678,Alice Johnson,Ajout de l'écran d'accueil,1.0.0,2023-01-01,"Ajout de l'écran d'accueil avec les informations de compte",8,80,4,2,0,98,2,2,1,5,8,3,0,0,0,124,Ajout de l'écran d'accueil,Robert Lee,"Ajout de l'interface utilisateur pour l'écran d'accueil",2,En revue,2,0.5,1,0,1,0.5,1,100,1,0,1,60
3,pqrs9012,David Wilson,Ajout de l'écran des transactions,1.0.0,2023-01-01,"Ajout de l'écran des transactions pour afficher l'historique",8,75,3,1,0,92,2,2,1,6,10,3,0,0,0,125,Ajout de l'écran des transactions,Emily Thompson,"Ajout de l'interface utilisateur pour l'écran des transactions",2,En revue,1,0.5,1,0,1,0.5,1,100,1,0,1,70
4,mnop3456,Sarah Davis,Ajout de la fonctionnalité de virement,1.1.0,2023-02-01,"Ajout de la fonctionnalité de virement entre comptes",8,85,3,1,0,95,2,1,1,5,10,2,0,0,0,126,Ajout de la fonctionnalité de virement,John Smith,"Ajout de l'interface utilisateur et de la logique de virement",2,En revue,1,0.5,1,0,1,0.5,1,100,1,0,1,80
5,efgh7890,Robert Lee,Ajout de la fonctionnalité de paiement de factures,1.1.0,2023-02-01,"Ajout de la fonctionnalité de paiement de factures directement depuis l'application",8,80,2,1,0,98,2,1,1,6,8,3,0,0,0,127,Ajout de la fonctionnalité de paiement de factures,Emily Thompson,"Ajout de l'interface utilisateur et de la logique de paiement de factures",2,En revue,2,0.5,1,0,1,0.5,1,100,1,0,1,90
6,jklm2345,Emily Thompson,Ajout de l'écran de profil utilisateur,1.2.0,2023-03-01,"Ajout de l'écran de profil utilisateur avec les informations personnelles",8,80,3,1,0,92,2,1,1,5,8,3,0,0,0,128,Ajout de l'écran de profil utilisateur,John Smith,"Ajout de l'interface utilisateur pour l'écran de profil",2,En revue,2,0.5,1,0,1,0.5,1,100,1,0,1,50
7,qrst5678,Michael Brown,Ajout de la fonctionnalité de recherche,1.2.0,2023-03-01,"Ajout de la fonctionnalité de recherche avancée pour les transactions",8,85,2,1,0,95,2,1,1,4,8,3,0,0,0,129,Ajout de la fonctionnalité de recherche,Robert Lee,"Ajout de l'interface utilisateur et de la logique de recherche avancée",2,En revue,1,0.5,1,0,1,0.5,1,100,1,0,1,60
8,uvwx1234,Mark Anderson,Ajout de la fonctionnalité de gestion de compte,1.3.0,2023-04-01,"Ajout de la fonctionnalité permettant aux utilisateurs de gérer leur compte bancaire",9,85,2,1,0,95,2,1,1,5,8,2,0,0,0,130,Ajout de la fonctionnalité de gestion de compte,Emily Thompson,"Ajout de l'interface utilisateur et de la logique de gestion de compte",2,En revue,2,0.5,1,0,1,0.5,1,100,1,0,1,70
9,ijkl9012,Sophia Thomas,Ajout de la fonctionnalité de virement externe,1.3.0,2023-04-01,"Ajout de la fonctionnalité permettant aux utilisateurs d'effectuer des virements vers d'autres banques",8,80,3,1,0,92,2,1,1,6,8,2,0,0,0,131,Ajout de la fonctionnalité de virement externe,Robert Lee,"Ajout de l'interface utilisateur et de la logique de virement externe",2,En revue,2,0.5,1,0,1,0.5,1,100,1,0,1,80
10,mnop5678,Emma Garcia,Ajout de la fonctionnalité de localisation d'agences,1.4.0,2023-05-01,"Ajout de la fonctionnalité de localisation d'agences bancaires",8,80,3,1,0,90,2,2,1,6,8,2,0,0,0,132,Ajout de la fonctionnalité de localisation d'agences,Robert Lee,"Ajout de l'interface utilisateur et de la logique de localisation d'agences",2,En revue,2,0.5,1,0,1,0.5,1,100,1,0,1,70
