rating,code_coverage,merge_conflicts,code_smells,test_cases,pull_requests_merged,response_time_for_code_reviews,average_code_complexity,average_code_duplication,time_to_resolve_issues,open_issues
8.08311111111111,80.67707952166677,1,1,164,2,2,11.993379578171595,18.579436787567914,7,1
9.139600000000002,90.79352600005927,0,5,188,2,1,12.08539060201209,13.592406495172844,7,1
8.944355555555555,90.61916700858735,0,5,183,1,2,8.663061499553528,12.763524404026912,8,1
4.467866666666667,49.69208161285882,6,4,103,1,2,6.174116578199911,0,7,2
9.2668,94.57358611352339,1,2,187,2,0,9.513348347634473,14.578937753136433,7,1
8.919422222222224,88.93696436181001,0,3,183,1,1,10.62803549116507,12.938776804471702,0,0
8.866222222222222,93.76794782728257,3,4,186,1,2,11.981020528563768,3.7059493880287664,7,2
7.157066666666665,75.36829231153851,1,10,149,1,1,6.147521719948121,0.5079679597487554,14,3
4.774133333333334,49.02422404556155,2,11,100,2,0,13.13398633749824,10.435437867259118,5,5
8.407866666666667,86.41795601507636,0,0,174,1,2,12.40424042693326,17.384401866686435,11,2
9.161866666666667,94.5731355247984,0,4,188,1,2,12.133137032795902,6.322261927179652,5,2
9.123866666666665,93.14074919793063,0,2,189,1,2,8.033486992999201,7.572441531095973,7,2
9.23268148148148,93.81155593147713,3,5,191,1,0,10.321230598439412,8.813458379366907,8,1
9.079066666666668,91.95887773872552,0,0,187,1,1,8.49817591137741,18.664431957857783,0,0
8.901955555555556,94.00826009289435,1,4,183,2,0,10.726655969497749,11.47589799871653,5,3
4.4776,50.83585425621933,7,8,100,2,1,11.016178382973248,10.677231622313773,11,2
4.779866666666667,50.712010950397264,0,12,99,1,2,9.449809211094216,0,9,4
9.214681481481481,96.8848780310403,5,2,188,0,1,5.904082011725981,21.701252844377553,0,0
9.163066666666666,94.12292521286287,0,2,186,1,1,12.590282788433992,6.3184354367720665,5,1
8.467866666666666,90.34463160001494,2,4,175,2,2,6.425462409617292,1.458444068770326,8,3
